武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 西北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 东北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 西北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 东北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 西北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 东北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 西北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 东北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 西北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 东北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 西北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 东北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 西北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 东北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 西北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 东北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 西北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 东北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 西北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 东北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 西北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 多云 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 阴 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 阴 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 阴 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
武汉01月30日 	 星期二 	 4,-7 	 阴 	 北风 
武汉01月31日 	 星期三 	 6,-7 	 多云 	 北风 
武汉02月01日 	 星期四 	 7,-5 	 晴 	 东北风 
武汉02月02日 	 星期五 	 8,-4 	 阴 	 北风 
武汉02月03日 	 星期六 	 7,-4 	 晴 	 北风 
武汉02月04日 	 星期日 	 7,-3 	 多云 	 东风 
武汉02月05日 	 星期一 	 7,-3 	 阴 	 东风 
上海01月30日 	 星期二 	 4,-3 	 霾 	 西北风 
上海01月31日 	 星期三 	 3,-1 	 阴 	 西北风 
上海02月01日 	 星期四 	 6,-1 	 晴 	 北风 
上海02月02日 	 星期五 	 6,0 	 多云 	 北风 
上海02月03日 	 星期六 	 1,-2 	 晴 	 西北风 
上海02月04日 	 星期日 	 1,-3 	 晴 	 西北风 
上海02月05日 	 星期一 	 3,-5 	 晴 	 北风 
